0	1	2
Is it safe to eat moldy cheese?	腐ったチーズを食べても平気ですか？	CC-BY 2.0 (France) Attribution: tatoeba.org #7974312 (CK) & #7975931 (Ninja)
I take it for granted that they'll get married.	私は、あの二人は当然結婚するものと思っている。	CC-BY 2.0 (France) Attribution: tatoeba.org #280872 (CK) & #3459123 (arnab)
She gave him a lot of money.	彼女は彼にたくさんのお金を与えた。	CC-BY 2.0 (France) Attribution: tatoeba.org #887132 (CK) & #1490510 (bunbuku)
How did it come about?	どうして事故が起こったのですか？	CC-BY 2.0 (France) Attribution: tatoeba.org #25170 (CK) & #4802221 (chihiro)
Tom is already snoring.	トムはもういびきをかいている。	CC-BY 2.0 (France) Attribution: tatoeba.org #8599816 (CK) & #8599820 (small_snow)
Are you telling me that Tom doesn't know?	トムは知らないってこと？	CC-BY 2.0 (France) Attribution: tatoeba.org #6790436 (CK) & #8823078 (bunbuku)
They don't work at night.	彼らは夜に働かない。	CC-BY 2.0 (France) Attribution: tatoeba.org #2278293 (CK) & #7577153 (Tako)
In September, there are just a few people here and there on the beach.	９月の海は、人がまばらだね。	CC-BY 2.0 (France) Attribution: tatoeba.org #72294 (CK) & #234918 (e4zh1nmcz)
While you're young, you should read a lot.	若いうちにたくさんの本を読むべきだ。	CC-BY 2.0 (France) Attribution: tatoeba.org #265688 (kebukebu) & #148870 (bunbuku)
Here I come.	いま、行きます。	CC-BY 2.0 (France) Attribution: tatoeba.org #1112325 (Scott) & #228560 (arnab)
Once you've decided when you'll be coming, let me know.	いつ来るか決まったら教えて。	CC-BY 2.0 (France) Attribution: tatoeba.org #3688537 (CK) & #3685593 (tommy_san)
He jumped on the train.	彼は電車に飛び乗った。	CC-BY 2.0 (France) Attribution: tatoeba.org #301804 (CK) & #101889 (bunbuku)
He passed away yesterday.	彼は昨日お亡くなりになりました。	CC-BY 2.0 (France) Attribution: tatoeba.org #571632 (MUIRIEL) & #1039290 (bunbuku)
I had no other choice.	他に手がなかったのだ。	CC-BY 2.0 (France) Attribution: tatoeba.org #274617 (CK) & #138792 (mookeee)
Are you good at bowling?	ボウリングは得意？	CC-BY 2.0 (France) Attribution: tatoeba.org #6887139 (CK) & #8818401 (bunbuku)
It's strange that you don't know anything about that matter.	あなたがそのことについて何も知らないのは変だ。	CC-BY 2.0 (France) Attribution: tatoeba.org #1341434 (CK) & #234209 (bunbuku)
